vezes_acima,grupo,perfil,seguidores,data,interacoes,curtidas,comentarios,mediana_perfil,legenda,link,coletado,capa
5.9,gabriel,fabianocarvalhojr,217534,20/09/2026,3920,1926,1994,665,"Comente ""NZ91C"" e eu te mando os links no seu direct. A primeira é a que mais circulou e é a que mais precisa de contexto. O Claude Opus 5 escreveu um exploit funcional em horas, depois do Opus 4.8 ter falhado no mesmo p",https://www.instagram.com/p/Ddh0wZIDRUy/,2026-09-25 19:36,https://scontent-iad3-2.cdninstagram.com/v/t39.30808-6/818584182_1028296750229310_3251026255075833980_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=mf6SP76S-i0Q7kNvwG4cQkg&_nc_oc=AdpY4dFPC8We0XZQzEwT0I-1BnnDXRxw6Dh56TnMw4LkwFeyg9bgxMiEIbzAwggeQIU&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=vlH8jN4ABKHCYWdowkwobA&oh=00_AQKEoNOIDjt6LhlntsgAKYrJTnSOV3uf9RP5d1_Mmaubjw&oe=6ABCA13A
5.1,gabriel,fabianocarvalhojr,217534,22/09/2026,3372,2021,1351,665,"Comente ""4JMWC"" e eu te mando os 7 repositórios e a ferramenta paga que cada um substitui. A conta é simples: todo item dessa lista faz o trabalho de um software que cobra por assento ou por mês. Você roda num servidor s",https://www.instagram.com/p/DdnOY5DFiZh/,2026-09-25 19:36,https://scontent-iad3-1.cdninstagram.com/v/t39.30808-6/819848963_1030230636702588_3327498288248702_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=SEuoJHU-jNMQ7kNvwGPPR6U&_nc_oc=AdqmMsEhVLnJHwv0EQAWuJUQY0VxNmOUHdzEO8wgxELQlEVup2PE0euItJ5YOWfpom0&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=vlH8jN4ABKHCYWdowkwobA&oh=00_AQKprrJ2PGE9_lO5Fy8NJ7J_KteCKJF21zfzDwki_7IDMQ&oe=6ABCBA4C
3.8,gabriel,rafa.grandi,301890,11/08/2026,13252,8958,4294,3513,Comenta “linkedin” que te mando pelo direct! 🤯 Essa é uma das melhores formas de utilizar o Claude para te auxiliar na otimização do seu linkedin. 👇🏽 Me segue para mais conteúdo de IA #claude #ia #linkedin #inteligenciaa,https://www.instagram.com/p/Db5vNk8lSP7/,2026-09-25 19:36,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/773121330_18620855416050054_3241343042215955357_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=GZ3KmCzehv8Q7kNvwGbDLB7&_nc_oc=Adque-SJwab5ZIjS_L0HoOvBWf6r2mArBvboqSZk0333SGa2QBlQc3oqpyFIPeVKeYE&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=hr_V9wyDggf34NWeCXkGLw&oh=00_AQJgklp1rxmY0HYvS1P97aTp3zWXUjVYGBzY60DNY7ovlQ&oe=6ABCAF8B
3.8,gabriel,fabianocarvalhojr,217534,21/09/2026,2547,973,1574,665,"Comente ""2WPXC"" e eu te mando o link da API e o que dá pra construir com ela. Antes de qualquer coisa, a correção que importa: a plataforma da Higgsfield não é código aberto. A central de ajuda deles diz, com essas palav",https://www.instagram.com/p/DdkWBPvj_23/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t39.30808-6/820291856_1029250753467243_4537593563997255176_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=2xL-gckwA1sQ7kNvwGPU73g&_nc_oc=Adr6L-Uba48GFkbXa8VYklGOyJcb5ODRGmWiJFv-oRmtSHryMSmawFm6joUpIx_pQZY&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=vlH8jN4ABKHCYWdowkwobA&oh=00_AQL-86IpQB7M-LyW4LyREttoUElee0NYmfRFsz_eLEr5cA&oe=6ABC8942
3.6,gabriel,rafa.grandi,301890,04/09/2026,12503,6230,6273,3513,Comenta “cérebro” que te mando pelo direct 🤯 #claude #claudecode #codex #ia #segundocerebro,https://www.instagram.com/p/Dc3Z-52FU_D/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/792235785_18629233342050054_2102065970352146452_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=LHfwJl-676oQ7kNvwF3n4Jd&_nc_oc=AdoOeRZ5WkBSKTRHl7-vDdivjG6B6ZrjA4fXHDOfzr4GUJCcqVlAYv-Dvp4I8xe2rJ8&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=hr_V9wyDggf34NWeCXkGLw&oh=00_AQIsZRA9-JO4AhE4_mFiYhLjmoU_Jl3hkQhKeXkjyh6Aiw&oe=6ABCA1C8
2.7,gabriel,rafa.grandi,301890,18/08/2026,9360,6440,2920,3513,Comenta “marca” que te mando pelo Direct 🤯🫡 #claude #ia #inteligenciaartificial #anthropic #fyy,https://www.instagram.com/p/DcLmN7mleeQ/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/779816272_18623482513050054_1325744007205954220_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=zVxFv4TA8fgQ7kNvwG8uWi3&_nc_oc=AdpyR7rtoEfqqSeAzAnL_6Iuty50Pz6lr--K6oPt-LHbsebYI97av69XO_Y7NKyNQ10&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=hr_V9wyDggf34NWeCXkGLw&oh=00_AQJFsdlaL15FkNwjjNu8P5lK006TJVT9g-q4YH-54arN2Q&oe=6ABCA68E
1.7,gabriel,fabianocarvalhojr,217534,20/09/2026,1161,556,605,665,"Comente ""G09JC"" e eu te mando o plano no seu direct. A oportunidade saiu de usar IA e foi pra construir com IA. São oito habilidades que cobrem esse caminho, e você não precisa das oito. Vídeo de IA e criação de anúncio,",https://www.instagram.com/p/Ddh7jG4lOns/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t39.30808-6/817749215_1028297850229200_2008876485810676669_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=7eCKzk7neDQQ7kNvwFC8wOK&_nc_oc=AdosxawgICKc6D--hOJPg0sdXp3QZr8wW9NxpvznZN4zI7ciWEQdj65SGJPLiC3YjBs&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=vlH8jN4ABKHCYWdowkwobA&oh=00_AQKiQR0-YlpvKqC0EHdUXqce7XDVMsS-D1cIjU4idtTPVw&oe=6ABCA2DF
229.6,dono,leilahormozi,1585811,19/09/2026,15842,15672,170,69,"A lesson I’ve realized as I’ve gotten older: No relationship is ever a waste of time. If it didn’t bring you what you want, it taught you what you don’t want.",https://www.instagram.com/p/DdeTSKEliT9/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/814603220_18448630954130532_769617160079756853_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=CxZLGrGRtRkQ7kNvwEzn4oJ&_nc_oc=AdpVpPRV1JhKSnN9WRX6tzs7HZZ4o_tjm8jWLVbu4o6ep2T0g1zc-mPOkgZwvIEXwRg&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=ZJZl41pLlzhj93Azffaw9g&oh=00_AQKNIBDP7TIVNvIfrWyjDssl3gGrxxsdwdN8OgqVUMd-BQ&oe=6ABCB300
173.2,ia,mpaige13,54401,01/09/2026,5976,1409,4567,34,"Animated carousels are having a moment on Instagram, and the process is simpler than it looks. I use ChatGPT to map out the story and design each slide, then Runway + Seedance 2.5 to bring them to life. One thing that ma",https://www.instagram.com/p/DcvzIbHESfG/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/788729760_18623699023015941_4196988571771373388_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=QzN3Qn-1mWMQ7kNvwGH1Iwt&_nc_oc=AdqzLbkk8Jv47Fp1AvWuvCA41vnO7ARAuUHTxkUPF52ymJj9YCfBq-JuBCjgcxKKcsM&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=NpIWx9qwNopVeeU0iJerSA&oh=00_AQKpsynxZt_QCyxnWrug5bJ7wKWkcUD8xqn63P53SrT0MQ&oe=6ABCAB83
153.9,ia,handlytech,993457,15/09/2026,35324,29138,6186,229,"Comment “PROMPT” and I’ll send you all 99 ChatGPT prompt commands. 👀 Use these commands to get clearer, smarter, and more useful answers from ChatGPT. Save this post. You’ll need it later. #ChatGPT #chatgptprompts #AIToo",https://www.instagram.com/p/DdTfZoaiDSc/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/811711019_18036937319838901_4499901470470341407_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=qEojnu9oXdIQ7kNvwEkf3ao&_nc_oc=AdqPtaDh5JHdo821tO4ZsKZzHiGWt8yc_WeQn5TwBwtJzWHXu8J1cbUr6s3bCHfmxYQ&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=lyrerkxHWD-uZNmZ5FYY0g&oh=00_AQJZ-Qujs_GuNoHKMgonk2Sqr7GzOlMbd_OJdR6G7ELt-Q&oe=6ABCB2AF
57.2,dono,hormozi,5009388,24/09/2026,11645,11514,131,203,"Your most valuable asset isn’t your time, it’s your attention. A man with time and distractions will always lose to the man with a deadline and singular focus.",https://www.instagram.com/p/DdsPculGBXL/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/800715463_18340845586250343_2826160395444233079_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=tY4HMDPC99QQ7kNvwGQUFZa&_nc_oc=AdoXverwtpTKNlIM6mtpvPAVL6eyGg218xJI-c8zxfHG4lM4IqSntuQZ92RQZJKUtI8&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=IueiJANgOokiSj15jKA3Vg&oh=00_AQKNJg1qCNt9DzalZcAwiqPgvvsTRnd3x3EoeOditDg0Qw&oe=6ABCA02A
47.4,ia,renatoasse,128463,09/09/2026,2040,351,1689,43,Comenta aqui embaixo que te envio a skill gratuita pra vc instalar,https://www.instagram.com/p/DdFjazojh4r/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/801465206_18142978840604791_2956917677610636472_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=KaiwPXlcpQMQ7kNvwGwKShM&_nc_oc=AdqfvKyeNv4M9Zip8UPbIne51QbijpAwcoW2pFSLqYsYNb7jxt_TgubC3jAbjWxJzY4&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=qsOgaPaPuH98eNEbmv9DwA&oh=00_AQIex7coqCFQgES05-OviXTDrd1eBZvq8fA2SfGg9zDoOA&oe=6ABCB955
43.4,ia,alberta.tech,321970,30/08/2026,50498,49807,691,1163,Don’t stress that AI coding tools are making you “forget how to code”. That isn’t a concern for you to worry about 🫶🫶,https://www.instagram.com/p/DcrfsbGkY4P/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/791096769_18121392794485474_3214564340857099018_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=WtAWISNYwv4Q7kNvwFqqt-U&_nc_oc=AdrEiNlTC6NvxcGYL38hXOsaTU_pkb_0KxrZuptTUsOd-WgIt8qyCaKKDCYUzVWmx_0&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=DIqQXgMOoaFPxEhdIISp9Q&oh=00_AQLEnMu6Y4_RJorHOYnkVZCcApvwgUAbjJeAvhi4-NIjgw&oe=6ABC9A67
39.7,dono,leilahormozi,1585811,22/09/2026,2739,2703,36,69,7 practices that helped me reach a net worth of $100M ➡️,https://www.instagram.com/p/Ddl5pueD2pc/,2026-09-25 19:36,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/795328821_18449083012130532_7524469770389057054_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=0qXnmUHHnRMQ7kNvwF4h0Hl&_nc_oc=Adp0gWJziBK7aWyRSb4rrbyYMGc_qOkMuxoqkjrY_iwQ0k6jw9OnVHFQdoZ_s7q_sAM&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=ZJZl41pLlzhj93Azffaw9g&oh=00_AQJ6WuJX-zJBTrcb6D-MMzpLrgYK1tP9mTNlh9yRR3ufgg&oe=6ABCAC8C
